,Degree,Betweenness,Eigenvector_Centrality,Closeness,Clustering_Coefficient
AAA,0.9863013698630136,5.255755305690259e-05,0.08195195759212577,0.9864864864864865,0.9923271173271173
ACA,0.9931506849315068,5.185509005529268e-05,0.08252125877583313,0.9931972789115646,0.9925287356321839
ACB,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
AHN,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
AI,0.9863013698630136,5.120374386880134e-05,0.08195962682449848,0.9864864864864865,0.9925213675213675
AT,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
AUD,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
AVP,0.958904109589041,4.9820826182244695e-05,0.07968971980213439,0.9605263157894737,0.9922918807810894
AVPV,0.9726027397260273,5.050019883241886e-05,0.08081685812669444,0.9733333333333334,0.9924083508141045
BAC,0.9931506849315068,5.253913698001951e-05,0.08251741089107867,0.9931972789115646,0.9924329501915709
BLA,0.9794520547945205,4.706207876310573e-05,0.08142079027319199,0.9798657718120806,0.993006993006993
BMA,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
BST,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
CA1,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
CA2,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
CA3,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
CEA,0.9863013698630136,5.255755305690259e-05,0.08195195759212577,0.9864864864864865,0.9923271173271173
CL,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
CLA,0.9863013698630136,5.120374386880134e-05,0.08195962682449848,0.9864864864864865,0.9925213675213675
CLI,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
CM,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
CP,0.9794520547945205,4.706207876310573e-05,0.08142079027319199,0.9798657718120806,0.993006993006993
CS,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
CUN,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
DG,0.9863013698630136,4.780137911352582e-05,0.08197512451206128,0.9864864864864865,0.993006993006993
DMH,0.9931506849315068,5.11612719743935e-05,0.08252510666058759,0.9931972789115646,0.992624521072797
DN,0.9863013698630136,4.6373379355797926e-05,0.08198284681870646,0.9864864864864865,0.9932012432012433
DR,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
ECT,0.9931506849315068,4.904403634260699e-05,0.08253662377771476,0.9931972789115646,0.992911877394636
ENT,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
EP,0.9863013698630136,4.9863827510629444e-05,0.08196360739493412,0.9864864864864865,0.9927156177156177
EW,0.9931506849315068,5.2534484497438516e-05,0.08251738435394243,0.9931972789115646,0.9924329501915709
FC,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
FN,1.0136986301369864,5.452574704210177e-05,0.08364823787757573,1.0,0.992253188474256
FS,0.9931506849315068,5.253913698001951e-05,0.08251741089107867,0.9931972789115646,0.9924329501915709
GPe,0.9931506849315068,4.904403634260699e-05,0.08253662377771476,0.9931972789115646,0.992911877394636
GPi,0.9931506849315068,5.0476890843977744e-05,0.08252900761961454,0.9931972789115646,0.9927203065134099
GU,0.9931506849315068,5.2543789462600505e-05,0.0825174374282149,0.9931972789115646,0.9924329501915709
HEM,0.9931506849315068,5.0476890843977744e-05,0.08252900761961454,0.9931972789115646,0.9927203065134099
IA,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
IC,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
IF,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
IG,1.0068493150684932,5.1855090055292695e-05,0.08309063957094921,0.9931972789115646,0.9925287356321839
ILA,0.9863013698630136,4.9815971438601845e-05,0.08196726951973492,0.9864864864864865,0.9927156177156177
IP,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
IPN,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
LA,0.9931506849315068,4.904403634260699e-05,0.08253662377771476,0.9931972789115646,0.992911877394636
LC,0.9931506849315068,5.11612719743935e-05,0.08252510666058759,0.9931972789115646,0.992624521072797
LD,0.9794520547945205,5.056183188309922e-05,0.0814017100722371,0.9798657718120806,0.9925145277257953
LH,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
LHA,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
LPO,0.9931506849315068,5.2543789462600505e-05,0.0825174374282149,0.9931972789115646,0.9924329501915709
LS,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
MA,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
MA3,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
MBO,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
MD,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
ME,0.9452054794520548,4.63920552787826e-05,0.07857730958818628,0.948051948051948,0.9925949434042103
MEA,0.9863013698630136,5.255755305690259e-05,0.08195195759212577,0.9864864864864865,0.9923271173271173
MEPO,0.958904109589041,4.848988329254566e-05,0.07970121038212531,0.9605263157894737,0.9924974306269271
MEV,0.9863013698630136,4.9815971438601845e-05,0.08196726951973492,0.9864864864864865,0.9927156177156177
MH,0.9794520547945205,4.706207876310573e-05,0.08142079027319199,0.9798657718120806,0.993006993006993
MO,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
MPN,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
MPO,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
MRN,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
MS,0.9863013698630136,5.1203675087165075e-05,0.08195577893974401,0.9864864864864865,0.9925213675213675
MY-mot,0.9863013698630136,5.0505207312660445e-05,0.08195970643590718,0.9864864864864865,0.9926184926184927
MY-sat,0.9794520547945205,5.119443752879226e-05,0.0813863716074917,0.9798657718120806,0.9924160346695557
MY-sen,0.9863013698630136,4.9835314438811665e-05,0.0819635277835254,0.9864864864864865,0.9927156177156177
NB,0.9657534246575342,4.917453130183689e-05,0.08025918020865917,0.9668874172185431,0.9925025329280649
NDB,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
OLF,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
ORB,0.9863013698630136,5.25575530569026e-05,0.08195195759212577,0.9864864864864865,0.9923271173271173
OT,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
OV,0.9794520547945205,5.2543789462600505e-05,0.0813787819865277,0.9798657718120806,0.9922190485570768
P-mot,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
P-sat,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
P-sen,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
PA,0.9931506849315068,5.0472036100334894e-05,0.08252892800820583,0.9931972789115646,0.9927203065134099
PAG,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
PAR,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
PB,0.9931506849315068,5.0476890843977744e-05,0.08252900761961454,0.9931972789115646,0.9927203065134099
PBG,1.0136986301369864,5.452574704210177e-05,0.08364823787757573,1.0,0.992253188474256
PCN,0.9931506849315068,4.904403634260699e-05,0.08253662377771476,0.9931972789115646,0.992911877394636
PD,1.0136986301369864,5.452574704210177e-05,0.08364823787757573,1.0,0.992253188474256
PERI,0.9794520547945205,5.056183188309922e-05,0.0814017100722371,0.9798657718120806,0.9925145277257953
PF,0.9863013698630136,5.25575530569026e-05,0.08195195759212577,0.9864864864864865,0.9923271173271173
PH,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
PL,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
PMd,0.9863013698630136,5.25575530569026e-05,0.08195195759212577,0.9864864864864865,0.9923271173271173
PMv,0.9863013698630136,5.25575530569026e-05,0.0819519575921258,0.9864864864864865,0.9923271173271173
PN,1.0136986301369864,5.452574704210177e-05,0.08364823787757573,1.0,0.992253188474256
POST,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
PP,0.9863013698630136,4.9815971438601845e-05,0.08196726951973492,0.9864864864864865,0.9927156177156177
PPN,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
PR,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
PRE,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
PRT,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
PS,0.9931506849315068,5.319487301401471e-05,0.08251345685777925,0.9931972789115646,0.9923371647509579
PST,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
PSTN,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
PTLp,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
PVT,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
PVZ,0.9931506849315068,5.1855090055292695e-05,0.08252128531296936,0.9931972789115646,0.9925287356321839
PeF,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
ProS,0.9863013698630136,4.986382751062944e-05,0.08196358085779788,0.9864864864864865,0.9927156177156177
RCH,0.9726027397260273,5.0510120936214435e-05,0.08082081215999384,0.9733333333333334,0.9924083508141045
RE,0.9863013698630136,5.25575530569026e-05,0.0819519575921258,0.9864864864864865,0.9923271173271173
RH,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
RL,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
RN,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
RR,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
RSP,0.9931506849315068,5.0476890843977744e-05,0.08252900761961454,0.9931972789115646,0.9927203065134099
RT,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
SAG,1.0136986301369864,5.452574704210177e-05,0.08364823787757573,1.0,0.992253188474256
SBPV,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
SCH,0.9863013698630136,4.8495333462826134e-05,0.08197127662730681,0.9864864864864865,0.9929098679098679
SCm,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
SCs,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
SF,0.9794520547945205,5.056183188309922e-05,0.0814017100722371,0.9798657718120806,0.9925145277257953
SFO,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
SH,0.9931506849315068,5.2543789462600505e-05,0.0825174374282149,0.9931972789115646,0.9924329501915709
SI,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
SNc,0.9863013698630136,4.9815971438601845e-05,0.08196726951973492,0.9864864864864865,0.9927156177156177
SNr,0.9863013698630136,4.9820826182244695e-05,0.08196734913114363,0.9864864864864865,0.9927156177156177
SPA,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
SPF,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
SS,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
STN,0.9931506849315068,5.185509005529268e-05,0.08252125877583313,0.9931972789115646,0.9925287356321839
SUB,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
TEa,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
TRS,0.9794520547945205,5.056183188309922e-05,0.0814017100722371,0.9798657718120806,0.9925145277257953
TU,0.9863013698630136,5.25575530569026e-05,0.0819519575921258,0.9864864864864865,0.9923271173271173
VAL,0.9863013698630136,4.9820826182244695e-05,0.08196734913114363,0.9864864864864865,0.9927156177156177
VERM,0.9931506849315068,5.18598085305344e-05,0.0825212322386969,0.9931972789115646,0.9925287356321839
VIS,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
VISC,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
VLPO,0.9794520547945205,5.187848445351909e-05,0.08138262987128218,0.9798657718120806,0.9923175416133163
VM,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
VMH,0.9931506849315068,5.3874206964242734e-05,0.0825096885844335,0.9931972789115646,0.9922413793103448
VMPO,0.9726027397260273,5.052893450244734e-05,0.0808247131190208,0.9733333333333334,0.9924083508141045
VP,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
VTA,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
VTN,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
VeCB,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
ZI,1.0,5.452574704210177e-05,0.08307506227197768,1.0,0.992253188474256
