,Degree,Betweenness,Eigenvector_Centrality,Closeness,Clustering_Coefficient
AAA,0.9863013698630136,6.70959461630916e-05,0.08211069981916741,0.9864864864864865,0.9902874902874903
ACA,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
ACB,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
AHN,0.9931506849315068,6.775653540869867e-05,0.0826784578249597,0.9931972789115646,0.9903256704980843
AI,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
AT,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
AUD,0.9931506849315068,6.218651298350367e-05,0.08270940653762611,0.9931972789115646,0.9910919540229886
AVP,0.9931506849315068,6.639253173718346e-05,0.08268601475825098,0.9931972789115646,0.9905172413793103
AVPV,0.9931506849315068,6.43397299552588e-05,0.082697844162661,0.9931972789115646,0.9908045977011494
BAC,0.9863013698630136,6.443020287981218e-05,0.08212626763580633,0.9864864864864865,0.9906759906759907
BLA,0.9931506849315068,6.361081020070039e-05,0.08270163598077888,0.9931972789115646,0.9909003831417624
BMA,0.9931506849315068,6.775653540869867e-05,0.08267845782495968,0.9931972789115646,0.9903256704980843
BST,0.9794520547945205,5.6126838914880805e-05,0.08160112752942353,0.9798657718120806,0.991726583275879
CA1,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
CA2,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
CA3,0.9794520547945205,5.753725191188932e-05,0.08159311664607588,0.9798657718120806,0.9915295971634
CEA,0.9863013698630136,6.303797295250517e-05,0.08213387797498659,0.9864864864864865,0.9908702408702409
CL,0.9931506849315068,6.775653540869867e-05,0.0826784578249597,0.9931972789115646,0.9903256704980843
CLA,0.9931506849315068,6.502417994728652e-05,0.08269381201804268,0.9931972789115646,0.9907088122605364
CLI,0.9794520547945205,6.0204555404002406e-05,0.08158895098673509,0.9798657718120806,0.9911356249384419
CM,0.9931506849315068,6.775653540869867e-05,0.08267845782495968,0.9931972789115646,0.9903256704980843
CP,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
CS,0.9931506849315068,6.639253173718346e-05,0.08268606816413995,0.9931972789115646,0.9905172413793103
CUN,0.9931506849315068,6.641681294189445e-05,0.08268620167886243,0.9931972789115646,0.9905172413793103
DG,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
DMH,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
DN,0.9794520547945205,6.507184382281619e-05,0.0815504987466664,0.9798657718120806,0.990446173544765
DR,0.9794520547945205,6.0204555404002406e-05,0.08158895098673509,0.9798657718120806,0.9911356249384419
ECT,0.9931506849315068,6.361081020070039e-05,0.08270163598077888,0.9931972789115646,0.9909003831417624
ENT,0.9863013698630136,6.506712534757448e-05,0.08212218208529903,0.9864864864864865,0.9905788655788655
EP,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
EW,0.9931506849315068,6.218651298350367e-05,0.08270940653762611,0.9931972789115646,0.9910919540229886
