,Degree,Betweenness,Eigenvector_Centrality,Closeness,Clustering_Coefficient
AAA,0.9863013698630136,7.705470458889732e-05,0.08224223754258982,0.9864864864864865,0.9889277389277389
ACA,0.9931506849315068,7.403511457150129e-05,0.08283051210402165,0.9931972789115646,0.9894636015325671
ACB,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
AHN,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
AI,0.9863013698630136,7.704991870686641e-05,0.08224599288610358,0.9864864864864865,0.9889277389277389
AT,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
AUD,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
AVP,0.9794520547945205,7.36712093279515e-05,0.0816919455984115,0.9798657718120806,0.9892642568698907
AVPV,0.9931506849315068,7.838544521753449e-05,0.08280771180411663,0.9931972789115646,0.9888888888888889
BAC,0.9657534246575342,6.30106463415513e-05,0.08061625427277475,0.9668874172185431,0.9904761904761905
BLA,0.9931506849315068,7.839946865793816e-05,0.08280779227576336,0.9931972789115646,0.9888888888888889
BMA,0.9520547945205479,5.472241652432125e-05,0.07952379802073722,0.954248366013072,0.9914503180064644
BST,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
CA1,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
CA2,0.9931506849315068,7.97298861595804e-05,0.08279995970214893,0.9931972789115646,0.9886973180076628
CA3,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
CEA,0.9931506849315068,7.835159528645264e-05,0.08280747038917646,0.9931972789115646,0.9888888888888889
CL,0.9931506849315068,7.906929691397333e-05,0.08280387598895614,0.9931972789115646,0.9887931034482759
CLA,0.9794520547945205,7.501084740853127e-05,0.08168392525762139,0.9798657718120806,0.9890672707574116
CLI,0.9726027397260273,6.155545574036548e-05,0.08118282831347344,0.9733333333333334,0.9908101088802318
CM,0.9794520547945205,7.49748440914548e-05,0.0816878415444286,0.9798657718120806,0.9890672707574116
CP,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
CS,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
CUN,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
DG,0.9794520547945205,7.013623555630881e-05,0.08171509460878568,0.9798657718120806,0.9897567221510883
DMH,0.9520547945205479,6.880307822943518e-05,0.07942449600868028,0.954248366013072,0.9893650297153581
DN,0.9657534246575342,6.021999384751106e-05,0.08061330364572822,0.9668874172185431,0.9908814589665653
DR,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
ECT,0.9794520547945205,7.013623555630881e-05,0.08171509460878568,0.9798657718120806,0.9897567221510883
ENT,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
EP,0.9931506849315068,7.97298861595804e-05,0.08279995970214893,0.9931972789115646,0.9886973180076628
EW,0.9863013698630136,7.906929691397333e-05,0.08223051550605041,0.9864864864864865,0.9886363636363636
FC,0.9794520547945205,7.065208629582673e-05,0.08170613543211712,0.9798657718120806,0.9896582290948488
FN,0.9931506849315068,7.839481617535718e-05,0.08280776545188111,0.9931972789115646,0.9888888888888889
FS,0.9863013698630136,7.35925523019366e-05,0.08226157756168573,0.9864864864864865,0.9894133644133644
GPe,0.9657534246575342,7.290748123368114e-05,0.08054852397011569,0.9668874172185431,0.9890577507598785
GPi,0.9863013698630136,7.503060790654871e-05,0.08225390593136472,0.9864864864864865,0.9892191142191142
GU,0.9863013698630136,7.704991870686641e-05,0.08224599288610358,0.9864864864864865,0.9889277389277389
HEM,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
IA,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
IC,0.9931506849315068,7.97298861595804e-05,0.08279995970214893,0.9931972789115646,0.9886973180076628
IF,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
IG,0.9863013698630136,7.704984992523017e-05,0.08224585876669237,0.9864864864864865,0.9889277389277389
ILA,0.9863013698630136,7.70734465045427e-05,0.08223832125578259,0.9864864864864865,0.9889277389277389
IP,0.9931506849315068,7.906929691397333e-05,0.08280387598895614,0.9931972789115646,0.9887931034482759
IPN,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
