Brain Region,Abbreviation,Allen Area
Anterior amygdalar area,AAA,Striatum
Anterior cingulate area,ACA,Cortical plate
Nucleus accumbens,ACB,Striatum
Anterior hypothalamic nucleus,AHN,Hypothalamus
Agranular insular area,AI,Cortical plate
Anterior tegmental nucleus,AT,Midbrain
Auditory areas,AUD,Cortical plate
Anteroventral preoptic nucleus,AVP,Hypothalamus
Anteroventral periventricular nucleus,AVPV,Hypothalamus
Bed nucleus of the anterior commissure,BAC,Pallidum
Basolateral amygdala,BLA,Cortical subplate
Basomedial amygdala,BMA,Cortical subplate
Bed nuclei of the stria terminalis,BST,Pallidum
Field CA1,CA1,Cortical plate
Field CA2,CA2,Cortical plate
Field CA3,CA3,Cortical plate
Central amygdalar nucleus,CEA,Cortical subplate
Central lateral nucleus of the thalamus,CL,Thalamus
Claustrum,CLA,Cortical subplate
Central linear nucleus raphe,CLI,Midbrain
Central medial nucleus of the thalamus,CM,Thalamus
Caudoputamen,CP,Striatum
Superior central nucleus raphe,CS,Pons
Cuneiform nucleus,CUN,Midbrain
Dentate Gyrus,DG,Cortical plate
Dorsomedial nucleus of the hypothalamus,DMH,Hypothalamus
Denate nucleus,DN,Cerebellum
Dorsal nucleus raphe,DR,Midbrain
Ectorhinal area,ECT,Cortical plate
Entorhinal area,ENT,Cortical plate
Endopiriform nucleus,EP,Cortical subplate
Edinger-Westphal nucleus,EW,Midbrain
Fasciola cinerea,FC,Cortical plate
Fastigial nucleus,FN,Cerebellum
Fundus of striatum,FS,Striatum
"Globus pallidus, external segment",GPe,Pallidum
"Globus pallidus, internal segment",GPi,Pallidum
Gustatory areas,GU,Cortical plate
Hemispheric regions,HEM,Cerebellum
Intercalated amygdalar nucleus,IA,Striatum
Inferior colliculus,IC,Midbrain
Interfascicular nucleus raphe,IF,Midbrain
Induseum griseum,IG,Cortical plate
Infralimbic area,ILA,Cortical plate
Interposed nucleus,IP,Cerebellum
Interpeduncular nucleus,IPN,Midbrain
Lateral amygdalar nucleus,LA,Cortical subplate
Locus ceruleus,LC,Pons
Lateral dorsal nucleus of thalamus,LD,Thalamus
Lateral habenula,LH,Thalamus
Lateral hypothalamic area,LHA,Hypothalamus
Lateral preoptic area,LPO,Hypothalamus
Lateral septal nucleus,LS,Striatum
Magnocellular nucleus,MA,Pallidum
Medial accesory oculomotor nucleus,MA3,Midbrain
Mammillary body,MBO,Hypothalamus
Mediodorsal nucleus of thalamus,MD,Thalamus
Median eminence,ME,Hypothalamus
Medial amygdalar nucleus,MEA,Cortical subplate
Median preoptic nucleus,MEPO,Hypothalamus
Midbrain trigeminal nucleus,MEV,Midbrain
Medial habenula,MH,Thalamus
Somatomotor areas,MO,Cortical plate
Medial preoptic nucleus,MPN,Hypothalamus
Medial preoptic area,MPO,Hypothalamus
Midbrain reticular nucleus,MRN,Midbrain
Medial septal nucleus,MS,Pallidum
"Medulla, motor related",MY-mot,Medulla
"Medulla, behavioral state related",MY-sat,Medulla
"Medulla, sensory related",MY-sen,Medulla
Nucleus of the brachium of the inferior colliculus ,NB,Midbrain
Diagonal band nucleus,NDB,Pallidum
Olfactory areas,OLF,Cortical plate
