,Degree,Betweenness,Eigenvector_Centrality,Closeness,Clustering_Coefficient
AAA,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
ACA,0.9931506849315068,3.0313507580401493e-05,0.08229133038234958,0.9931972789115646,0.9955938697318008
ACB,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
AHN,0.9863013698630136,2.899220252740065e-05,0.08173286392133358,0.9864864864864865,0.9957264957264957
AI,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
AT,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
AUD,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
AVP,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
AVPV,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
BAC,0.9931506849315068,3.0318160062982484e-05,0.08229135669779869,0.9931972789115646,0.9955938697318008
BLA,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
BMA,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
BST,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
CA1,0.9931506849315068,3.0318160062982478e-05,0.08229135669779869,0.9931972789115646,0.9955938697318008
CA2,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
CA3,0.9931506849315068,3.0987988319017635e-05,0.08228751464222861,0.9931972789115646,0.9954980842911877
CEA,0.9863013698630136,3.0327335792517215e-05,0.08172520612564252,0.9864864864864865,0.9955322455322455
CL,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
CLA,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
CLI,0.9863013698630136,3.0327335792517215e-05,0.0817252061256425,0.9864864864864865,0.9955322455322455
CM,0.9931506849315068,3.0313507580401493e-05,0.08229133038234958,0.9931972789115646,0.9955938697318008
CP,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
CS,0.9863013698630136,3.0987988319017635e-05,0.08172136407007242,0.9864864864864865,0.9954351204351204
CUN,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
DG,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
DMH,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
DN,0.9863013698630136,2.9652855053901073e-05,0.08172896923486528,0.9864864864864865,0.9956293706293706
